timestamp_ms,stream_type,seq,packet_bytes,decrypt_time_ms,latency_ms,jitter_ms,packet_lost,underrun,queue_size,decode_ok,play_ok
1774052523552,audio,97,2098,0.10762500005512265,2,0,0,0,17,1,1
1774052523575,audio,98,2098,0.10898700020334218,2,0,0,0,16,1,1
1774052523581,video,32,19822,0.10651200045685982,4,0,0,0,0,1,1
1774052523599,audio,99,2098,0.10788500003400259,3,1,0,0,17,1,1
1774052523622,audio,100,2098,0.10835600005520973,2,1,0,0,17,1,1
1774052523646,audio,101,2098,0.10878600005526096,3,1,0,0,18,1,1
1774052523647,video,33,17875,0.10472799931449117,3,1,0,0,0,1,1
1774052523668,audio,102,2098,0.10669299990695436,2,1,0,0,17,1,1
1774052523692,audio,103,2098,0.08839699967211345,3,1,0,0,18,1,1
1774052523714,video,34,17873,0.10735399973782478,3,0,0,0,0,1,1
1774052523715,audio,104,2098,0.10534000011830358,2,1,0,0,17,1,1
1774052523738,audio,105,2098,0.08275700020021759,2,0,0,0,16,1,1
1774052523762,audio,106,2098,0.10643199948390247,3,1,0,0,17,1,1
1774052523781,video,35,18280,0.11859499954880448,4,1,0,0,0,1,1
1774052523785,audio,107,2098,0.11387599988665897,2,1,0,0,16,1,1
1774052523808,audio,108,2098,0.08213500041165389,2,0,0,0,17,1,1
1774052523831,audio,109,2098,0.09794600009627175,2,0,0,0,16,1,1
1774052523847,video,36,19037,0.13389400010055397,3,1,0,0,0,1,1
1774052523855,audio,110,2098,0.09215499994752463,3,1,0,0,17,1,1
1774052523878,audio,111,2098,0.0871560005180072,2,1,0,0,17,1,1
1774052523901,audio,112,2098,0.0854620002428419,2,0,0,0,18,1,1
1774052523914,video,37,19476,0.13249200037535047,3,0,0,0,0,1,1
1774052523924,audio,113,2098,0.07295900013559731,2,0,0,0,17,1,1
1774052523948,audio,114,2098,0.07024400019872701,2,0,0,0,18,1,1
1774052523971,audio,115,2098,0.06968299931031652,2,0,0,0,17,1,1
1774052523981,video,38,19685,0.10670300071069505,3,0,0,0,0,1,1
1774052523994,audio,116,2098,0.07178700070653576,2,0,0,0,16,1,1
1774052524017,audio,117,2098,0.10651199954736512,2,0,0,0,17,1,1
1774052524041,audio,118,2098,0.10612200003379257,2,0,0,0,16,1,1
1774052524049,video,39,19062,0.11621999965427676,5,2,0,0,0,1,1
1774052524065,audio,119,2098,0.10687200028769439,3,1,0,0,17,1,1
